started_at,runtime
2017-08-07 06:55:23.854478,21.0
2017-09-25 06:10:24.316404,76.0
2017-09-04 16:45:29.042204,10.0
2017-07-28 15:15:39.537745,286.0
2017-09-05 21:06:01.648438,589.0
2017-07-10 13:05:46.985308,127.0
2017-09-06 02:40:26.275776,36.0
2017-07-13 15:05:42.433889,528.0
2017-09-20 23:05:29.161049,163.0
2017-07-05 09:05:27.013649,73.0
2017-07-18 04:35:42.787423,180.0
2017-07-07 01:12:19.977944,741.0
2017-07-20 11:05:38.703248,318.0
2017-07-07 09:55:42.563405,72.0
2017-07-18 07:31:15.372106,871.0
2017-09-29 11:40:51.520709,802.0
2017-09-19 13:21:06.080610,314.0
2017-07-28 21:15:55.513465,385.0
2017-08-03 13:21:12.641736,280.0
2017-07-06 14:30:46.710789,347.0
2017-07-04 14:05:32.008702,48.0
2017-08-07 07:05:55.612756,54.0
2017-08-09 18:35:32.389186,416.0
2017-08-29 14:40:43.599087,922.0
2017-07-04 21:45:31.968532,129.0
2017-08-02 10:15:45.935442,328.0
2017-09-20 20:45:43.263629,649.0
2017-07-01 06:06:11.030204,622.0
2017-07-31 15:05:34.207093,135.0
2017-08-11 14:50:34.079487,373.0
2017-07-14 15:25:29.182857,39.0
2017-09-27 04:05:39.276322,46.0
2017-08-08 04:22:17.200627,46.0
2017-07-12 06:02:15.420173,83.0
2017-07-13 13:00:43.521845,342.0
2017-07-25 05:20:45.185123,1027.0
2017-09-20 14:05:36.888164,25.0
2017-07-06 10:30:39.849260,177.0
2017-09-04 06:20:33.295300,604.0
2017-09-25 22:25:56.321704,495.0
2017-07-01 23:46:00.550415,772.0
2017-09-22 01:35:49.186288,835.0
2017-07-10 21:55:37.961040,493.0
2017-07-06 05:40:53.901900,439.0
2017-08-18 07:35:30.144753,44.0
2017-08-17 15:25:33.037774,164.0
2017-07-26 08:35:43.222196,508.0
2017-08-18 08:55:23.374417,79.0
2017-07-17 21:20:48.284048,1398.0
2017-07-02 18:35:36.241264,472.0
2017-07-26 15:35:34.463258,789.0
2017-07-03 12:55:46.758233,733.0
2017-07-19 18:13:11.789412,1259.0
2017-09-19 16:46:01.314625,54.0
2017-09-26 02:35:38.773878,651.0
2017-09-27 19:20:36.185573,168.0
2017-08-10 15:35:38.418952,887.0
2017-07-27 08:45:44.450433,401.0
2017-07-07 13:45:42.965380,1269.0
2017-08-17 09:06:28.081292,524.0
2017-09-29 07:35:48.950907,908.0
2017-08-18 21:05:44.942334,650.0
2017-07-29 13:50:31.474756,43.0
2017-09-19 21:35:51.739285,298.0
2017-09-28 08:35:34.841375,420.0
2017-07-06 07:40:34.222022,41.0
2017-09-18 09:50:44.343926,212.0
2017-07-26 11:45:52.814783,2964.0
2017-09-12 14:20:36.751358,807.0
2017-07-21 18:00:45.984479,83.0
2017-09-01 11:30:48.305002,984.0
